valid_points	duration	head_id	source	srt	heuristic_saccade_validity	invalid_points	trial_configuration_id	stim_location	tracker_successfully_calibrated	trial_number	mse
1584	39975	0160	cg10_8_childcogn_8mNoCalib_SRT1.gazedata	286671	True	222	SRT1	3	False	0	0.0020456371181847405
1404	50027	0160	cg10_8_childcogn_8mNoCalib_SRT1.gazedata	436633	True	402	SRT1	5	False	1	0.001973995978860892
1662	56643	0160	cg10_8_childcogn_8mNoCalib_SRT1.gazedata	443234	True	144	SRT1	4	False	2	0.0020074937653561217
1776	59934	0160	cg10_8_childcogn_8mNoCalib_SRT1.gazedata	356646	True	30	SRT1	5	False	3	0.0010882356265686473
1758	60012	0160	cg10_8_childcogn_8mNoCalib_SRT1.gazedata	519917	True	48	SRT1	5	False	4	0.0010145335267386123
1596	39975	0160	cg10_8_childcogn_8mNoCalib_SRT1.gazedata	316686	True	210	SRT1	4	False	5	0.00031135137271640805
1614	56587	0160	cg10_8_childcogn_8mNoCalib_SRT1.gazedata	323362	True	192	SRT1	6	False	6	0.0022266821728759885
1596	56661	0160	cg10_8_childcogn_8mNoCalib_SRT1.gazedata	466615	True	210	SRT1	6	False	7	0.003344331839272209
1800	59928	0160	cg10_8_childcogn_8mNoCalib_SRT1.gazedata	416677	True	6	SRT1	4	False	8	0.0009168774098890261
1272	296629	0160	cg10_8_childcogn_8mNoCalib_SRT1.gazedata	269979	False	534	SRT1	6	False	9	0.007885970683904427
1728	46692	0160	cg10_8_childcogn_8mNoCalib_SRT1.gazedata	236611	True	78	SRT1	3	False	10	0.0006737950730520728
1542	80032	0160	cg10_8_childcogn_8mNoCalib_SRT1.gazedata	273255	False	264	SRT1	3	False	11	0.0014566046398753702
1773	63346	0160	cg10_8_childcogn_8mNoCalib_SRT2.gazedata	293300	True	33	SRT2	3	False	0	0.0007189138569268526
1782	53304	0160	cg10_8_childcogn_8mNoCalib_SRT2.gazedata	326642	True	24	SRT2	4	False	1	0.000692179365603564
1707	63371	0160	cg10_8_childcogn_8mNoCalib_SRT2.gazedata	433270	True	99	SRT2	5	False	2	0.00036694401801119845
1584	46696	0160	cg10_8_childcogn_8mNoCalib_SRT2.gazedata	336606	True	222	SRT2	4	False	3	0.0016070201501957964
1731	36714	0160	cg10_8_childcogn_8mNoCalib_SRT2.gazedata	413220	True	75	SRT2	6	False	4	0.00043758045614659133
1779	33369	0160	cg10_8_childcogn_8mNoCalib_SRT2.gazedata	303252	True	27	SRT2	6	False	5	0.00044454977022410604
1713	53299	0160	cg10_8_childcogn_8mNoCalib_SRT2.gazedata	326643	True	93	SRT2	5	False	6	0.0012045515638806961
852	6722	0160	cg10_8_childcogn_8mNoCalib_SRT2.gazedata	539853	False	954	SRT2	3	False	7	0.0030307314193994384
1476	83326	0160	cg10_8_childcogn_8mNoCalib_SRT2.gazedata	323292	False	330	SRT2	5	False	8	0.0067247808448139875
1485	73363	0160	cg10_8_childcogn_8mNoCalib_SRT2.gazedata	429887	True	321	SRT2	6	False	9	0.0037757812798217367
855	163292	0160	cg10_8_childcogn_8mNoCalib_SRT2.gazedata	160019	False	951	SRT2	4	False	10	0.011973199533682309
1527	43341	0160	cg10_8_childcogn_8mNoCalib_SRT2.gazedata	329912	True	279	SRT2	3	False	11	0.003061296900823084
1794	53404	0160	cg10_8_childcogn_8mNoCalib_SRT3.gazedata	276604	True	12	SRT3	4	False	0	0.0008747963105162574
1701	39988	0160	cg10_8_childcogn_8mNoCalib_SRT3.gazedata	266616	True	105	SRT3	4	False	1	0.0008749500489732754
1470	113334	0160	cg10_8_childcogn_8mNoCalib_SRT3.gazedata	276603	False	336	SRT3	5	False	2	0.0026535545671353368
1803	53388	0160	cg10_8_childcogn_8mNoCalib_SRT3.gazedata	366646	True	3	SRT3	3	False	3	0.0026749756843553922
1662	70003	0160	cg10_8_childcogn_8mNoCalib_SRT3.gazedata	279945	True	144	SRT3	6	False	4	0.0018976296761862937
1758	66619	0160	cg10_8_childcogn_8mNoCalib_SRT3.gazedata	326637	True	48	SRT3	3	False	5	0.0013727876824011604
1806	46699	0160	cg10_8_childcogn_8mNoCalib_SRT3.gazedata	329887	True	0	SRT3	6	False	6	0.00023096113627899898
1716	53307	0160	cg10_8_childcogn_8mNoCalib_SRT3.gazedata	356637	True	90	SRT3	4	False	7	0.0011805624862489391
1746	53303	0160	cg10_8_childcogn_8mNoCalib_SRT3.gazedata	293276	True	60	SRT3	6	False	8	0.0006533819221094762
1767	63355	0160	cg10_8_childcogn_8mNoCalib_SRT3.gazedata	403254	True	39	SRT3	5	False	9	0.0009847493460985336
1785	63347	0160	cg10_8_childcogn_8mNoCalib_SRT3.gazedata	276608	True	21	SRT3	3	False	10	0.0005987431891991143
177	16674	0160	cg10_8_childcogn_8mNoCalib_SRT3.gazedata	76685	False	1629	SRT3	5	False	11	3.428747298144821e-05
1803	39982	0160	cg10_8_childcogn_8mNoCalib_SRT4.gazedata	276608	True	3	SRT4	5	False	0	0.004368007787091884
1662	49927	0160	cg10_8_childcogn_8mNoCalib_SRT4.gazedata	393339	True	144	SRT4	4	False	1	0.001271989340869686
1773	63380	0160	cg10_8_childcogn_8mNoCalib_SRT4.gazedata	336612	True	33	SRT4	3	False	2	0.0010881670445661005
1806	56664	0160	cg10_8_childcogn_8mNoCalib_SRT4.gazedata	349948	True	0	SRT4	5	False	3	0.0005050753758001746
